of_list;of_pen_list;rr_round_list;of_val_list;RMSE_val_list;Var7
305.4177927;305.4178347;31;221.0996995;21.02853773;10479
305.3908536;305.3908955;31;221.0287519;21.02516359;10479
305.1491555;305.1491974;32;221.0989687;21.02850297;10479
305.0987538;305.0987958;32;221.425743;21.04403683;10479
305.0688735;305.0689154;33;221.2406026;21.03523723;10479
305.0282809;305.0283228;33;221.1262688;21.02980118;10479
304.9442156;304.9442575;33;220.8274285;21.01558605;10479
304.2587921;304.258834;34;220.8405189;21.01620893;10479
304.1664653;304.1665072;34;220.5998961;21.00475642;10479
304.0865346;304.0865765;34;220.4150626;20.99595497;10479
304.0243486;304.0243905;35;220.183978;20.98494594;10479
303.8269662;303.8270081;35;219.6175907;20.95793839;10479
303.7929831;303.793025;35;219.5225995;20.95340543;10479
303.7601279;303.7601698;35;219.39447;20.94728956;10479
303.7485787;303.7486206;35;219.3436122;20.94486153;10479
303.6938331;303.693875;36;219.1160936;20.93399597;10479
303.6699117;303.6699536;36;219.0323565;20.92999553;10479
303.6290228;303.6290647;36;218.89164;20.92327126;10479
303.5851247;303.5851666;36;218.7504542;20.91652238;10479
303.5537557;303.5537976;36;218.662466;20.91231532;10479
303.5383823;303.5384242;36;218.6094369;20.90977938;10479
303.515854;303.515896;36;218.528486;20.90590759;10479
303.4921069;303.4921488;36;218.4376684;20.90156302;10479
303.481276;303.481318;36;218.4298548;20.90118919;10479
303.4509677;303.4510096;37;218.2931658;20.8946484;10479
303.4328157;303.4328576;37;218.298744;20.89491536;10479
303.3709953;303.3710372;38;217.9553052;20.87847241;10479
303.3053011;303.305343;39;217.6988702;20.86618653;10479
303.2906761;303.2907396;257;217.6758514;20.86508334;10479
315.7650369;315.7650788;39;225.8091156;21.25131128;10479
303.9981307;303.9981726;39;217.428308;20.85321597;10479
303.9134575;303.9134994;39;217.0761074;20.83631961;10479
303.7473264;303.7473684;39;216.3783661;20.80280587;10479
303.6974245;303.6974664;39;216.1518296;20.79191331;10479
303.5318996;303.5319415;39;215.331211;20.75240762;10479
303.4867941;303.486836;39;215.1027324;20.74139496;10479
303.4578877;303.4579527;442;215.1046693;20.74148834;10479
317.2773218;317.2773851;254;226.2377498;21.27147149;10479
314.8589252;314.8589671;40;224.6341399;21.19594961;10479
303.8082074;303.8082493;42;216.3813939;20.80295142;10479
302.9828227;302.9828781;100;217.3392278;20.84894375;10479
308.3771179;308.3771598;43;221.3653895;21.04116867;10479
303.0481495;303.0481914;43;216.9835593;20.83187746;10479
302.8295485;302.8295904;43;215.8746742;20.77857908;10479
302.7434534;302.7434953;43;215.5083699;20.76094265;10479
302.7246922;302.7247341;43;215.5005057;20.76056385;10479
302.7004232;302.7004651;43;215.3997015;20.75570772;10479
302.5033091;302.5033635;89;215.2017862;20.74617007;10479
307.5710978;307.5711397;43;219.5460786;20.95452594;10479
302.6710305;302.6710724;43;215.2515839;20.74857026;10479
302.6636375;302.6636794;43;215.2495169;20.74847064;10479
302.6176038;302.6176457;43;215.1133465;20.74190669;10479
