of_list;of_pen_list;rr_round_list;of_val_list;RMSE_val_list;MAPE_val_list;Var7
353.830341699715;353.830342800031;0;248.441184447209;22.2908584153778;Inf;15719
362.385323459556;362.385324559831;1;254.791075485209;22.5739263525515;Inf;15719
360.838805733813;360.838860874446;5;254.015733056041;22.5395533698448;Inf;15719
358.754254952866;358.754310091927;8;253.675308183161;22.5244448625559;Inf;15719
358.184183268197;358.184238404021;11;253.805930937357;22.5302432715387;Inf;15719
356.569950202721;356.57000533677;13;253.152926604284;22.5012411481804;Inf;15719
355.838322780113;355.838377913647;13;252.768342436091;22.4841429650361;Inf;15719
355.64319358743;355.643248719952;14;252.79723699171;22.4854280364733;Inf;15719
355.196907907828;355.196963034666;17;252.641021795296;22.4784795658112;Inf;15719
351.448586635059;351.448641758087;21;250.943451096593;22.4028324591599;Inf;15719
349.576357652374;349.576412772917;23;250.358843690452;22.3767219981146;Inf;15719
347.759960690392;347.760015808236;26;249.232624091261;22.3263353056995;Inf;15719
346.165111839427;346.16516695469;27;249.079153927009;22.3194602948642;Inf;15719
345.023089174815;345.023144284221;32;248.791399815999;22.3065640481002;Inf;15719
341.29552955137;341.295584658117;35;246.548132380776;22.2057709787693;Inf;15719
333.940078218217;333.940133322677;36;245.718459289671;22.1683765436115;Inf;15719
333.48857133433;333.488626433911;38;245.636140679352;22.164662897475;Inf;15719
327.995494403264;327.995549499198;39;245.043792941778;22.1379218962294;Inf;15719
326.677774642237;326.677829736962;39;243.197066107757;22.0543449736217;Inf;15719
325.759351985627;325.759407077582;40;243.030666958068;22.0467987226295;Inf;15719
324.450278080142;324.450333171025;40;241.802529280997;21.9910222263994;Inf;15719
324.110567123901;324.110567170504;52397;241.752811550318;21.9887612907284;Inf;15719
347.169065175137;347.169120310155;0;246.742385063829;22.2145171031841;Inf;15719
342.729566837948;342.729621970623;3;251.206601428356;22.4145756787121;Inf;15719
341.510522199437;341.510577330409;6;250.485248119868;22.3823702104968;Inf;15719
340.8126699106;340.812725040801;7;250.329540262203;22.3754124101525;Inf;15719
340.54086892576;340.540924053071;11;249.999519455431;22.3606582843811;Inf;15719
339.384716182193;339.384771306881;14;249.40959335728;22.3342603798415;Inf;15719
337.796982995695;337.797038118483;15;248.729866500283;22.3038053479796;Inf;15719
337.160101389813;337.160156512197;15;248.147730077807;22.2776897400878;Inf;15719
337.007492107646;337.007547229173;15;248.156612485551;22.2780884496651;Inf;15719
336.754289835485;336.754344955884;16;248.048001324758;22.2732126701452;Inf;15719
336.364208307349;336.364263423901;18;247.925643529891;22.2677184969584;Inf;15719
334.9293726351;334.9294277503;18;247.808796854959;22.2624705212588;Inf;15719
334.314370211853;334.314425325756;18;247.578414196005;22.252119638183;Inf;15719
333.820906802233;333.820961912955;19;247.326196366525;22.2407821969698;Inf;15719
325.301156246587;325.301211357075;19;247.153709412547;22.2330254087268;Inf;15719
325.234328350574;325.23438346013;19;247.1208040404;22.2315453372184;Inf;15719
325.040738164773;325.040793273702;20;246.661390840061;22.210870799681;Inf;15719
324.878524021851;324.878579128817;23;246.502188762072;22.2037018878417;Inf;15719
324.257523235722;324.257578339314;25;245.899423419015;22.1765382068083;Inf;15719
322.813076920408;322.813132023517;25;242.763985042755;22.0346992283877;Inf;15719
322.680306037308;322.68036113929;25;242.668516120731;22.0303661395235;Inf;15719
322.32123456808;322.321289668523;26;242.368267824084;22.0167330830023;Inf;15719
321.967427916069;321.967483015604;26;242.883492107425;22.0401221460964;Inf;15719
321.683707475222;321.68376257338;26;242.529166099719;22.0240398700928;Inf;15719
320.815977010133;320.816032106726;26;242.465919395532;22.0211679706382;Inf;15719
320.330839329993;320.330894425823;26;242.298929508429;22.0135835114789;Inf;15719
