of_list;of_round_list;rr_round_list;of_val_list;of_round_val_list;RMSE_val_list;RMSE_round_val_list;MAPE_val_list;MAPE_round_val_list;Var10
316.767642180954;20832.2373607075;44;238.417751523724;20935.7185712156;21.8365634440827;204.625113665042;Inf;Inf;10479
316.73889184353;20832.2373607075;44;238.424512202369;20935.7185712156;21.8368730454875;204.625113665042;Inf;Inf;10479
316.543502764005;20832.2373607075;44;238.08518844227;20935.7185712156;21.8213284857852;204.625113665042;Inf;Inf;10479
316.324557506175;20832.2373607075;44;238.106375912918;20935.7185712156;21.8222994165564;204.625113665042;Inf;Inf;10479
316.173995413842;20832.2373607075;44;238.119371183138;20935.7185712156;21.8228949125976;204.625113665042;Inf;Inf;10479
316.024523202823;20832.2373607075;44;238.14677724141;20935.7185712156;21.8241507161864;204.625113665042;Inf;Inf;10479
315.815811377294;20832.2373607075;44;238.065352815289;20935.7185712156;21.8204194650465;204.625113665042;Inf;Inf;10479
315.673565621317;2124.39049827019;322;237.627516862703;2053.33228152151;21.8003448074888;64.0832627371845;Inf;Inf;10479
331.2495835603;20832.2373607075;44;238.956861165639;20935.7185712156;21.8612378956746;204.625113665042;Inf;Inf;10479
317.12821928055;20832.2373607075;44;239.398781034031;20935.7185712156;21.8814433268937;204.625113665042;Inf;Inf;10479
317.022635052199;20832.2373607075;44;239.300290905393;20935.7185712156;21.8769417837774;204.625113665042;Inf;Inf;10479
316.903877021818;20832.2373607075;44;238.924227269416;20935.7185712156;21.8597450703075;204.625113665042;Inf;Inf;10479
316.690962200811;21196.9946837541;46;238.325075332063;21325.6675356093;21.8323189483876;206.521996579586;Inf;Inf;10479
316.62944432412;21182.1500647381;47;238.333151310345;21319.1079040291;21.8326888545751;206.490231749732;Inf;Inf;10479
316.495774136173;20029.8635929532;48;238.455223354548;20164.0118764415;21.8382793898488;200.818384997198;Inf;Inf;10479
316.058231676272;20108.482931276;49;236.835836158023;20289.4820687544;21.7639994558915;201.442210416558;Inf;Inf;10479
315.978936383709;18976.5727940266;54;236.583921895823;19037.3022052491;21.752421561556;195.127149342418;Inf;Inf;10479
317.105091690945;19895.2001353901;50;235.743374333235;20035.8020997318;21.7137456157723;200.178930458387;Inf;Inf;10479
314.897930522531;19895.2001353901;50;236.678973132494;20035.8020997318;21.756790808044;200.178930458387;Inf;Inf;10479
314.825153536924;19895.2001353901;50;236.367085199775;20035.8020997318;21.7424508829973;200.178930458387;Inf;Inf;10479
314.77805357929;19895.2001353901;50;236.313565969167;20035.8020997318;21.7399892350096;200.178930458387;Inf;Inf;10479
314.740628701234;19895.2001353901;50;236.225772551699;20035.8020997318;21.735950522197;200.178930458387;Inf;Inf;10479
314.633403779821;19895.2001353901;50;235.922757590976;20035.8020997318;21.7220053213775;200.178930458387;Inf;Inf;10479
314.517265876073;19895.2001353901;50;235.424225244699;20035.8020997318;21.6990426168852;200.178930458387;Inf;Inf;10479
314.398594191748;20244.9871182538;51;234.913818092444;20389.4264414655;21.6755077491829;201.937745067461;Inf;Inf;10479
314.328295957343;19929.9956453297;52;234.683597968431;20082.368663216;21.6648839354579;200.411420149731;Inf;Inf;10479
314.245194982564;19929.9956453297;52;234.382369673702;20082.368663216;21.6509754825829;200.411420149731;Inf;Inf;10479
314.158047653826;19929.9956453297;52;234.043482663228;20082.368663216;21.6353175462357;200.411420149731;Inf;Inf;10479
314.121461399101;19929.9956453297;52;233.939393905325;20082.368663216;21.6305059536445;200.411420149731;Inf;Inf;10479
314.1015391564;19929.9956453297;52;233.932541142403;20082.368663216;21.6301891412166;200.411420149731;Inf;Inf;10479
314.030398036852;5575.87595850971;164;233.69757969206;5486.30339991261;21.6193237494636;104.7502114548;Inf;Inf;10479
324.217585979329;19929.9956453297;52;234.242791158623;20082.368663216;21.6445277684048;200.411420149731;Inf;Inf;10479
314.071986864207;19929.9956453297;52;233.335506032679;20082.368663216;21.602569570895;200.411420149731;Inf;Inf;10479
314.043593135735;18443.3443172856;53;233.284355351675;18647.6848059321;21.6002016357105;193.120091165741;Inf;Inf;10479
313.406928470949;18443.3443172856;53;230.620142207172;18647.6848059321;21.476505405078;193.120091165741;Inf;Inf;10479
313.345776794881;18443.3443172856;53;230.306462483572;18647.6848059321;21.4618947198784;193.120091165741;Inf;Inf;10479
312.92260641223;17583.9570213405;54;230.394082472459;17841.4813286707;21.4659769156896;188.89934530681;Inf;Inf;10479
312.521464794163;17583.9570213405;54;228.584391684613;17841.4813286707;21.3815056385004;188.89934530681;Inf;Inf;10479
312.405504661634;17710.5173593934;55;227.95994889173;17986.9994472712;21.3522808567015;189.668128304527;Inf;Inf;10479
312.360223841877;7859.21930114628;110;227.773112078524;7778.24088646555;21.3435288590488;124.725625967285;Inf;Inf;10479
319.04637186893;17710.5173593934;55;229.055258692489;17986.9994472712;21.4035164724159;189.668128304527;Inf;Inf;10479
312.51065355192;17710.5173593934;55;227.583970970681;17986.9994472712;21.3346652643383;189.668128304527;Inf;Inf;10479
312.411305032007;4797.44454491834;171;227.640092416671;4700.72553074503;21.337295630734;96.9610801378062;Inf;Inf;10479
322.991043035442;17683.3127539015;56;230.229250865199;17959.3938570803;21.4582968040429;189.522525611497;Inf;Inf;10479
312.362179359428;17683.3127539015;56;226.785079286785;17959.3938570803;21.2971866351772;189.522525611497;Inf;Inf;10479
312.270942671688;316.035506047273;51853;226.777690738132;220.563445270694;21.29683970631;21.0030209860722;Inf;Inf;10479
329.496819383198;17683.3127539015;56;232.728869160438;17959.3938570803;21.5744695953545;189.522525611497;Inf;Inf;10479
312.912803519245;17683.3127539015;56;226.405029906932;17959.3938570803;21.2793341017491;189.522525611497;Inf;Inf;10479
312.870396677157;17249.7181894206;57;226.284317825704;17527.0645779281;21.2736606076953;187.227479702783;Inf;Inf;10479
312.815160053531;17249.7181894206;57;226.090333072097;17527.0645779281;21.264540111279;187.227479702783;Inf;Inf;10479
312.801913431661;17249.7181894206;57;226.08813469675;17527.0645779281;21.2644367288085;187.227479702783;Inf;Inf;10479
312.79493303634;17249.7181894206;57;226.104561470958;17527.0645779281;21.2652092146284;187.227479702783;Inf;Inf;10479
